date,item_name,category,price_rs,units_sold,day_of_week,month,day_of_month,is_saturday,festival_name,festival_effect,is_monsoon,thermal_index,promo_active,days_since_open
2025-02-01,Milk Tea (Dudh Chiya),beverage_hot,40,208,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,Masala Chiya,beverage_hot,50,137,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,Black Tea (Kalo Chiya),beverage_hot,30,50,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,Americano,beverage_hot,150,59,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,Cappuccino,beverage_hot,190,76,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,Cafe Latte,beverage_hot,200,51,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,Hot Chocolate,beverage_hot,180,28,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,Cold Coffee,beverage_cold,220,51,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,Iced Americano,beverage_cold,180,57,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,Lassi,beverage_cold,120,46,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,Fresh Lime Soda,beverage_cold,100,67,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,Veg Momo,food_main,160,97,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,Buff Momo,food_main,180,94,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,Chicken Chowmein,food_main,190,62,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,Veg Thukpa,food_main,170,31,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,Club Sandwich,food_main,250,38,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,Chicken Burger,food_main,280,47,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,French Fries,food_snack,130,55,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,Samosa,food_snack,40,49,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,Chocolate Cake Slice,food_bakery,160,20,5,2,1,1,none,none,0,0.9575,0,0
2025-02-01,Croissant,food_bakery,140,18,5,2,1,1,none,none,0,0.9575,0,0
2025-02-02,Milk Tea (Dudh Chiya),beverage_hot,40,110,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,Masala Chiya,beverage_hot,50,84,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,Black Tea (Kalo Chiya),beverage_hot,30,43,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,Americano,beverage_hot,150,43,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,Cappuccino,beverage_hot,190,37,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,Cafe Latte,beverage_hot,200,40,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,Hot Chocolate,beverage_hot,180,28,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,Cold Coffee,beverage_cold,220,33,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,Iced Americano,beverage_cold,180,21,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,Lassi,beverage_cold,120,26,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,Fresh Lime Soda,beverage_cold,100,31,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,Veg Momo,food_main,160,45,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,Buff Momo,food_main,180,55,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,Chicken Chowmein,food_main,190,41,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,Veg Thukpa,food_main,170,28,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,Club Sandwich,food_main,250,22,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,Chicken Burger,food_main,280,14,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,French Fries,food_snack,130,43,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,Samosa,food_snack,40,26,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,Chocolate Cake Slice,food_bakery,160,17,6,2,2,0,none,none,0,0.9524,0,1
2025-02-02,Croissant,food_bakery,140,6,6,2,2,0,none,none,0,0.9524,0,1
2025-02-03,Milk Tea (Dudh Chiya),beverage_hot,40,112,0,2,3,0,none,none,0,0.9471,0,2
2025-02-03,Masala Chiya,beverage_hot,50,79,0,2,3,0,none,none,0,0.9471,0,2
2025-02-03,Black Tea (Kalo Chiya),beverage_hot,30,31,0,2,3,0,none,none,0,0.9471,0,2
2025-02-03,Americano,beverage_hot,150,32,0,2,3,0,none,none,0,0.9471,0,2
2025-02-03,Cappuccino,beverage_hot,190,39,0,2,3,0,none,none,0,0.9471,0,2
2025-02-03,Cafe Latte,beverage_hot,200,52,0,2,3,0,none,none,0,0.9471,0,2
2025-02-03,Hot Chocolate,beverage_hot,180,20,0,2,3,0,none,none,0,0.9471,0,2
2025-02-03,Cold Coffee,beverage_cold,220,35,0,2,3,0,none,none,0,0.9471,0,2
2025-02-03,Iced Americano,beverage_cold,180,29,0,2,3,0,none,none,0,0.9471,0,2
2025-02-03,Lassi,beverage_cold,120,21,0,2,3,0,none,none,0,0.9471,0,2
2025-02-03,Fresh Lime Soda,beverage_cold,100,42,0,2,3,0,none,none,0,0.9471,0,2
2025-02-03,Veg Momo,food_main,160,42,0,2,3,0,none,none,0,0.9471,0,2
2025-02-03,Buff Momo,food_main,180,61,0,2,3,0,none,none,0,0.9471,0,2
2025-02-03,Chicken Chowmein,food_main,190,51,0,2,3,0,none,none,0,0.9471,0,2
2025-02-03,Veg Thukpa,food_main,170,24,0,2,3,0,none,none,0,0.9471,0,2
2025-02-03,Club Sandwich,food_main,250,21,0,2,3,0,none,none,0,0.9471,0,2
2025-02-03,Chicken Burger,food_main,280,21,0,2,3,0,none,none,0,0.9471,0,2
2025-02-03,French Fries,food_snack,130,33,0,2,3,0,none,none,0,0.9471,0,2
2025-02-03,Samosa,food_snack,40,36,0,2,3,0,none,none,0,0.9471,0,2
